词汇,频次
铁瑞幸,19
据说,19
多款,19
虽然,19
营业,19
好像,19
收纳,19
中网,19
每周,19
或者,19
多多,19
外卖,19
揭秘,19
猫咪,19
收集,19
还原,19
收货,19
没事,19
下班,19
运营,19
播报,19
爆改,19
全部,19
探店,19
实在,19
插画,19
分层,19
大话,19
圆子,19
半糖,19
清香,19
椰树,19
提交,19
果冻,19
可选,18
卡皮,18
巴拉,18
送上,18
冷饮,18
距离,18
时代,18
咖啡茶,18
厦门,18
PP,18
本期,18
猜猜,18
今晚,18
为准,18
角色,18
拿捏,18
is,18
做成,18
一场,18
晶球,18
拉满,18
店长,18
真正,18
爱好者,18
留下,18
努力,18
带走,18
庆祝,18
一周年,18
喝前,18
介绍,18
尝尝,18
学习,18
加上,18
美貌,18
恋爱,18
而且,18
担心,18
立秋,18
质感,18
西安,18
大块,18
加倍,18
承包,18
迷你,18
状态,18
守护,18
仿佛,18
斯巴达,18
咖啡杯,18
没关系,18
投票,18
女明星,18
理由,18
鲜果,18
惊艳,18
司康,18
自行,18
尽快,18
乌龙茶,18
杯盖,18
重点,18
女篮,18
保证,18
明亮,18
蛋白,18
点赞,18
糊糊,18
甜感,17
样子,17
程度,17
内部,17
爆米花,17
预告,17
降温,17
选取,17
狂野,17
_____,17
乳酸菌,17
色彩,17
锡林郭勒,17
杯身,17
以外,17
一整天,17
投稿,17
一条,17
心中,17
倡导人,17
宠粉,17
个人,17
选手,17
累计,17
空降,17
有趣,17
基础,17
慕斯,17
再见,17
栀子,17
冻冻,17
一只,17
返场,17
神器,17
沙沙,17
好消息,17
嘉宾,17
精致,17
不过,17
成熟,17
高考,17
重庆,17
非常,17
Espresso,17
四点,17
收获,17
俱乐部,17
文化节,17
艺术家,17
过瘾,17
粉粉,17
同事,17
可得,17
翻牌,17
潦草,17
更加,17
任选,17
舍不得,17
闭眼,17
鼓浪屿,17
青森,17
看图,17
轻乳好,17
人拿铁,17
Friends,17
Line,17
右滑,17
哈根达斯,17
双款,16
热咖啡,16
觉得,16
这种,16
之前,16
场景,16
适配,16
暖暖的,16
同一,16
出门,16
最好,16
榛果,16
草原,16
柚子,16
淡淡的,16
学会,16
滤镜,16
顶流,16
集齐,16
记录,16
精神状态,16
第一口,16
竣程,16
大小,16
开箱,16
精彩,16
果茶,16
太太,16
两个,16
宣布,16
三重,16
巨巨巨,16
透卡,16
ps,16
时令,16
emoji,16
分别,16
大神,16
一猫,16
爽口,16
一代人,16
可口,16
身边,16
意式,16
勇士,16
邂逅,16
恰到好处,16
九色鹿,16
微苦,16
直播,16
更佳,16
开心果,16
春晚,16
嘻嘻,16
乡村,16
冻干,16
美妙,16
厚奶,16
啤酒,16
直饮,16
粉色,16
塞纳,16
明显,16
红楼梦,16
贺岁,16
EDG,16
粉嫩,16
cp,16
甜甜的,16
音乐节,16
虎年,16
AI,15
万物,15
热情,15
最美,15
多肉,15
任一,15
爱喝,15
全场,15
款款,15
悠享,15
立冬,15
全线,15
真是,15
区域,15
手握,15
同样,15
摇摇,15
一切,15
黄金,15
国家,15
升杯,15
地址,15
每口,15
南京,15
新款,15
仅限,15
揭晓,15
金桂,15
完成,15
书签,15
征集,15
一周,15
海报,15
美好,15
认识一下,15
情况,15
the,15
传承,15
文化,15
无需,15
人生,15
爆发,15
任何,15
一笔,15
装饰,15
大声,15
合适,15
复工,15
后台,15
拿铁,15
单一,15
配色,15
冰雪,15
绵软,15
橘子,15
新加坡,15
忍不住,15
樱桃,15
过去,15
